Rt,temp_ch,temp_hex_f,temp_hex_b,temp_chamber,MV1,Heater17 On,MV2,Heater18 On
2022-10-05 15:25:47,-110.7421875,-97.0546875,-126.8046875,-19.5390625,0.0,False,0.0,False
2022-10-05 15:25:49,-110.890625,-97.0703125,-126.703125,-19.5390625,0.0,Off,0.0,Off
2022-10-05 15:25:53,-110.7421875,-96.984375,-126.765625,-19.5859375,305000.9375,On,379454.0625,On
2022-10-05 15:25:57,-110.7265625,-96.96875,-126.6484375,-19.46875,304961.875,On,379161.09375,On
2022-10-05 15:26:01,-110.5859375,-96.8984375,-126.6484375,-19.5,304786.09375,On,379161.09375,On
2022-10-05 15:26:05,-110.671875,-96.8828125,-126.3984375,-19.453125,304747.03125,On,378536.09375,On
2022-10-05 15:26:09,-110.65625,-96.9140625,-126.0078125,-19.5234375,304825.15625,On,377559.53125,On
2022-10-05 15:26:13,-110.5625,-96.8671875,-125.390625,-19.5,304707.96875,On,376016.5625,On
2022-10-05 15:26:17,-110.453125,-96.8828125,-124.78125,-19.5,304747.03125,On,374493.125,On
2022-10-05 15:26:21,-110.421875,-96.765625,-123.953125,-19.453125,304454.0625,On,372422.8125,On
2022-10-05 15:26:25,-110.4375,-96.640625,-123.25,-19.4296875,304141.5625,On,370665.0,On
2022-10-05 15:26:29,-110.5078125,-96.7109375,-122.1484375,-19.40625,304317.34375,On,367911.09375,On
2022-10-05 15:26:33,-110.2578125,-96.8671875,-121.3515625,-19.3359375,304707.96875,On,365918.90625,On
2022-10-05 15:26:37,-110.2578125,-96.625,-120.296875,-19.296875,304102.5,On,363282.1875,On
2022-10-05 15:26:41,-110.203125,-96.6640625,-119.25,-19.453125,304200.15625,On,360665.0,On
2022-10-05 15:26:45,-110.2421875,-96.625,-118.2734375,-19.328125,304102.5,On,358223.59375,On
2022-10-05 15:26:49,-110.171875,-96.5546875,-117.0546875,-19.3671875,303926.71875,On,355176.71875,On
2022-10-05 15:26:53,-110.09375,-96.4765625,-116.0546875,-19.3828125,303731.40625,On,352676.71875,On
2022-10-05 15:26:57,-110.078125,-96.4765625,-114.890625,-19.3125,303731.40625,On,349766.5625,On
2022-10-05 15:27:01,-110.046875,-96.40625,-113.921875,-19.2890625,303555.625,On,347344.6875,On
2022-10-05 15:27:05,-109.96875,-96.40625,-112.9375,-19.2578125,303555.625,On,344883.75,On
2022-10-05 15:27:09,-109.828125,-96.375,-112.046875,-19.234375,303477.5,On,342657.1875,On
2022-10-05 15:27:13,-109.9375,-96.4765625,-111.140625,-19.3125,303731.40625,On,340391.5625,On
2022-10-05 15:27:17,-109.7578125,-96.3046875,-110.3515625,-19.1796875,303301.71875,On,338418.90625,On
2022-10-05 15:27:21,-109.8984375,-96.1875,-109.453125,-19.125,303008.75,On,336172.8125,On
2022-10-05 15:27:25,-109.7578125,-96.203125,-108.5546875,-19.140625,303047.8125,On,333926.71875,On
2022-10-05 15:27:29,-109.734375,-96.203125,-107.8828125,-19.1015625,303047.8125,On,332247.03125,On
